Seção;Divisão;Grupo;Classe;Denominação
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Intermediação não-monetária - outros instrumentos de captação;64310;Bancos múltiplos, sem carteira comercial
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;Moagem, fabricação de produtos amiláceos e de alimentos para animais;10619;Beneficiamento de arroz e fabricação de produtos do arroz
OUTRAS ATIVIDADES DE SERVIÇOS;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;Outras atividades de serviços pessoais;96025;Cabeleireiros e outras atividades de tratamento de beleza
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Caça e serviços relacionados;1709;Caça e serviços relacionados
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Intermediação monetária - depósitos à vista;64239;Caixas econômicas
ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;Captação, tratamento e distribuição de água;36006;Captação, tratamento e distribuição de água
TRANSPORTE, ARMAZENAGEM E CORREIO;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;Armazenamento, carga e descarga;52125;Carga e descarga
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA;Atividades jurídicas;69125;Cartórios
ARTES, CULTURA, ESPORTE E RECREAÇÃO;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;Atividades esportivas;93123;Clubes sociais, esportivos e similares
ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS";Coleta de resíduos;38114;Coleta de resíduos não-perigosos
ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS";Coleta de resíduos;38122;Coleta de resíduos perigosos
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio de veículos automotores;45111;Comércio a varejo e por atacado de veículos automotores
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO VAREJISTA;Comércio ambulante e outros tipos de comércio varejista;47903;Comércio ambulante e outros tipos de comércio varejista
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de matérias-primas agrícolas e animais vivos;46231;Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja
"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS";COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Comércio atacadista de produtos de consumo não-alimentar;46478;"Comércio atacadista de artigos de escritório e de papelaria; livros, jornais e outras publicações"
